lad_code,n,mean,rooms
E07000127,20,467,One
E07000128,120,462,One
E08000011,20,474,One
E08000012,660,565,One
E08000014,240,497,One
E08000013,130,485,One
E08000015,230,472,One
E06000011,230,442,One
E06000010,410,415,One
E06000012,120,406,One
E06000013,90,408,One
E06000014,660,746,One
E07000163,150,519,One
E07000164,70,474,One
E07000165,410,612,One
E07000166,80,459,One
E07000167,50,503,One
E07000168,220,449,One
E07000169,60,448,One
E08000016,150,446,One
E08000017,260,453,One
E08000018,170,453,One
E08000019,1130,613,One
E08000032,530,468,One
E08000033,290,461,One
E08000034,340,474,One
E08000035,1570,704,One
E08000036,230,506,One
E06000015,430,486,One
E06000016,470,576,One
E06000018,690,661,One
E06000017,20,560,One
E07000032,120,505,One
E07000033,40,471,One
E07000034,210,469,One
E07000035,70,530,One
E07000036,150,514,One
E07000037,60,519,One
E07000038,50,479,One
E07000039,100,532,One
E07000129,20,617,One
E07000130,190,567,One
E07000131,10,619,One
E07000132,100,526,One
E07000133,60,467,One
E07000134,60,543,One
E07000135,30,582,One
E07000136,230,548,One
E07000137,230,451,One
E07000138,190,602,One
E07000139,30,517,One
E07000140,160,545,One
E07000141,230,477,One
E07000142,40,449,One
E07000150,30,651,One
E07000151,40,652,One
E07000152,50,571,One
E07000153,140,584,One
E07000154,430,664,One
E07000155,30,775,One
E07000156,100,555,One
E07000170,80,476,One
E07000171,100,431,One
E07000172,90,577,One
E07000173,100,534,One
E07000174,160,495,One
E07000175,150,491,One
E07000176,90,618,One
E06000019,260,525,One
E06000051,360,513,One
E06000021,210,436,One
E06000020,150,524,One
E07000192,150,487,One
E07000193,170,510,One
E07000194,100,629,One
E07000195,90,484,One
E07000196,20,585,One
E07000197,240,542,One
E07000198,80,431,One
E07000199,70,608,One
E07000218,50,574,One
E07000219,110,520,One
E07000220,160,605,One
E07000221,160,714,One
E07000222,330,772,One
E08000025,1290,705,One
E08000026,260,665,One
E08000027,270,516,One
E08000028,170,551,One
E08000029,140,715,One
E08000030,100,529,One
E08000031,200,497,One
E07000234,80,546,One
E07000235,70,606,One
E07000236,120,562,One
E07000237,210,600,One
E07000238,140,580,One
E07000239,170,502,One
E06000055,480,677,One
E06000056,420,729,One
E06000032,790,716,One
E06000031,550,614,One
E06000033,1130,718,One
E06000034,560,799,One
E07000008,540,1124,One
E07000009,120,658,One
E07000010,180,553,One
E07000011,390,674,One
E07000012,160,874,One
E07000066,470,824,One
E07000067,150,732,One
E07000068,240,963,One
E07000069,150,762,One
E07000070,540,833,One
E07000071,390,681,One
E07000072,130,957,One
E07000073,340,800,One
E07000074,40,667,One
E07000075,110,751,One
E07000076,230,608,One
E07000077,90,798,One
E07000095,170,917,One
E07000096,380,916,One
E07000242,390,891,One
E07000098,150,1023,One
E07000099,220,811,One
E07000240,390,990,One
E07000243,240,806,One
E07000102,110,1045,One
E07000103,270,1034,One
E07000241,260,862,One
E07000143,210,579,One
E07000144,100,601,One
E07000145,210,486,One
E07000146,290,574,One
E07000147,130,560,One
E07000148,470,690,One
